Datetime,Open,High,Low,Close,Adj Close,Volume
2024-04-15 00:00:00-04:00,5181.0,5182.0,5180.75,5181.75,5181.75,0
2024-04-15 00:05:00-04:00,5182.0,5182.0,5181.0,5181.0,5181.0,375
2024-04-15 00:10:00-04:00,5181.0,5181.25,5180.25,5180.75,5180.75,306
2024-04-15 00:15:00-04:00,5180.75,5182.25,5180.5,5182.25,5182.25,344
2024-04-15 00:20:00-04:00,5182.0,5182.75,5181.5,5182.75,5182.75,516
2024-04-15 00:25:00-04:00,5182.75,5182.75,5181.5,5182.0,5182.0,410
2024-04-15 00:30:00-04:00,5182.25,5183.25,5181.75,5182.25,5182.25,466
2024-04-15 00:35:00-04:00,5182.0,5183.75,5182.0,5183.5,5183.5,392
2024-04-15 00:40:00-04:00,5183.5,5185.0,5183.0,5184.75,5184.75,622
2024-04-15 00:45:00-04:00,5184.75,5186.5,5184.0,5184.25,5184.25,1057
2024-04-15 00:50:00-04:00,5184.0,5185.25,5183.75,5185.25,5185.25,398
2024-04-15 00:55:00-04:00,5185.25,5186.5,5185.0,5186.25,5186.25,563
2024-04-15 01:00:00-04:00,5186.0,5189.25,5186.0,5188.25,5188.25,1929
2024-04-15 01:05:00-04:00,5188.25,5189.0,5187.5,5188.75,5188.75,658
2024-04-15 01:10:00-04:00,5188.75,5189.5,5188.25,5188.5,5188.5,726
2024-04-15 01:15:00-04:00,5188.25,5188.75,5187.25,5187.5,5187.5,468
2024-04-15 01:20:00-04:00,5187.25,5188.5,5187.0,5188.0,5188.0,525
2024-04-15 01:25:00-04:00,5188.25,5188.75,5187.25,5187.5,5187.5,707
2024-04-15 01:30:00-04:00,5187.75,5188.0,5186.25,5187.25,5187.25,566
2024-04-15 01:35:00-04:00,5187.25,5187.25,5185.5,5186.25,5186.25,533
2024-04-15 01:40:00-04:00,5186.25,5187.5,5185.75,5186.5,5186.5,577
2024-04-15 01:45:00-04:00,5186.5,5187.5,5186.0,5187.25,5187.25,541
2024-04-15 01:50:00-04:00,5187.0,5188.25,5186.25,5188.25,5188.25,439
2024-04-15 01:55:00-04:00,5188.0,5190.0,5187.5,5189.0,5189.0,1210
2024-04-15 02:00:00-04:00,5188.75,5189.5,5187.0,5187.25,5187.25,1361
2024-04-15 02:05:00-04:00,5187.0,5188.5,5185.75,5188.0,5188.0,1002
2024-04-15 02:10:00-04:00,5188.0,5189.25,5187.25,5189.25,5189.25,566
2024-04-15 02:15:00-04:00,5188.25,5191.25,5187.5,5189.25,5189.25,1945
2024-04-15 02:20:00-04:00,5189.0,5189.75,5187.75,5189.5,5189.5,1183
2024-04-15 02:25:00-04:00,5189.5,5192.5,5189.25,5192.25,5192.25,1897
2024-04-15 02:30:00-04:00,5192.25,5193.75,5191.25,5191.5,5191.5,1769
2024-04-15 02:35:00-04:00,5191.5,5192.5,5190.25,5192.5,5192.5,1468
2024-04-15 02:40:00-04:00,5192.5,5193.5,5191.75,5191.75,5191.75,867
2024-04-15 02:45:00-04:00,5191.5,5192.5,5191.0,5192.25,5192.25,764
2024-04-15 02:50:00-04:00,5192.0,5193.0,5190.75,5191.75,5191.75,1221
2024-04-15 02:55:00-04:00,5191.5,5192.5,5189.5,5189.75,5189.75,1234
2024-04-15 03:00:00-04:00,5189.75,5198.5,5189.5,5195.0,5195.0,5551
2024-04-15 03:05:00-04:00,5195.0,5195.5,5193.25,5194.75,5194.75,2710
2024-04-15 03:10:00-04:00,5194.75,5194.75,5190.5,5192.0,5192.0,2648
2024-04-15 03:15:00-04:00,5192.25,5193.75,5188.5,5193.5,5193.5,2712
2024-04-15 03:20:00-04:00,5193.75,5194.5,5189.0,5189.5,5189.5,2321
2024-04-15 03:25:00-04:00,5189.25,5191.0,5189.0,5190.5,5190.5,1843
2024-04-15 03:30:00-04:00,5190.25,5191.75,5186.0,5189.25,5189.25,2717
2024-04-15 03:35:00-04:00,5189.5,5193.0,5188.75,5192.75,5192.75,2245
2024-04-15 03:40:00-04:00,5192.75,5194.25,5190.0,5190.0,5190.0,1863
2024-04-15 03:45:00-04:00,5189.75,5191.75,5185.75,5191.75,5191.75,2838
2024-04-15 03:50:00-04:00,5191.75,5194.25,5191.5,5193.75,5193.75,1686
2024-04-15 03:55:00-04:00,5193.75,5196.0,5193.0,5196.0,5196.0,1763
2024-04-15 04:00:00-04:00,5195.75,5197.0,5194.5,5195.75,5195.75,3051
2024-04-15 04:05:00-04:00,5195.75,5197.25,5193.75,5194.75,5194.75,2136
2024-04-15 04:10:00-04:00,5194.5,5195.75,5193.25,5194.25,5194.25,1811
2024-04-15 04:15:00-04:00,5194.25,5196.75,5194.0,5195.75,5195.75,2010
2024-04-15 04:20:00-04:00,5195.75,5196.0,5193.25,5193.75,5193.75,1585
2024-04-15 04:25:00-04:00,5193.75,5193.75,5191.0,5192.75,5192.75,2346
2024-04-15 04:30:00-04:00,5192.75,5195.0,5192.25,5195.0,5195.0,1861
2024-04-15 04:35:00-04:00,5194.75,5196.5,5193.25,5195.25,5195.25,2276
2024-04-15 04:40:00-04:00,5195.25,5195.75,5193.5,5194.0,5194.0,1594
2024-04-15 04:45:00-04:00,5194.0,5195.25,5192.0,5194.25,5194.25,1628
2024-04-15 04:50:00-04:00,5194.0,5194.5,5191.75,5194.25,5194.25,2270
2024-04-15 04:55:00-04:00,5194.5,5195.25,5191.75,5192.0,5192.0,1531
2024-04-15 05:00:00-04:00,5192.25,5195.75,5191.5,5195.5,5195.5,1692
2024-04-15 05:05:00-04:00,5195.75,5197.25,5195.25,5196.75,5196.75,1389
2024-04-15 05:10:00-04:00,5196.75,5197.25,5191.0,5191.5,5191.5,2451
2024-04-15 05:15:00-04:00,5191.5,5192.75,5189.75,5190.5,5190.5,1968
2024-04-15 05:20:00-04:00,5190.5,5191.25,5187.0,5188.0,5188.0,3170
2024-04-15 05:25:00-04:00,5188.25,5190.0,5187.25,5188.5,5188.5,1761
2024-04-15 05:30:00-04:00,5188.75,5188.75,5188.0,5188.25,5188.25,274
2024-04-15 05:40:00-04:00,5190.75,5192.25,5189.75,5192.0,5192.0,4341
2024-04-15 05:45:00-04:00,5192.0,5192.5,5191.0,5192.0,5192.0,789
2024-04-15 05:50:00-04:00,5192.0,5192.0,5188.0,5188.5,5188.5,1452
2024-04-15 05:55:00-04:00,5189.0,5190.75,5188.5,5189.75,5189.75,764
2024-04-15 06:00:00-04:00,5190.0,5191.5,5189.75,5191.0,5191.0,1110
2024-04-15 06:05:00-04:00,5191.0,5193.25,5190.75,5192.25,5192.25,1108
2024-04-15 06:10:00-04:00,5192.25,5192.5,5190.5,5191.25,5191.25,1222
2024-04-15 06:15:00-04:00,5191.25,5193.75,5190.75,5190.75,5190.75,1209
2024-04-15 06:20:00-04:00,5191.0,5192.0,5188.25,5188.75,5188.75,1150
2024-04-15 06:25:00-04:00,5188.5,5190.0,5187.25,5187.25,5187.25,1212
2024-04-15 06:30:00-04:00,5187.25,5190.0,5187.0,5189.75,5189.75,1585
2024-04-15 06:35:00-04:00,5189.5,5190.5,5188.25,5190.5,5190.5,1498
2024-04-15 06:40:00-04:00,5190.75,5190.75,5188.0,5189.25,5189.25,1513
2024-04-15 06:45:00-04:00,5189.25,5191.0,5189.25,5190.5,5190.5,922
2024-04-15 06:50:00-04:00,5190.75,5192.25,5190.25,5191.25,5191.25,1238
2024-04-15 06:55:00-04:00,5191.25,5191.25,5188.25,5188.75,5188.75,956
